,1,2,3
count,5000.0,5000.0,5000.0
mean,14.721608654017666,22.123830353613574,26.95762847812465
std,0.9665799596348686,1.448383467458434,0.9678796268338536
min,10.821721007752123,17.607728186914287,23.641388303009514
25%,14.304768992513688,21.10858221630111,26.365749548543818
50%,14.764191136973585,22.14361718604574,27.07868438602297
75%,15.157541807414193,23.217070690364572,27.621165258830736
max,18.73679217168894,25.530556441846187,29.682203425479255
