,1,2,3
count,5000.0,5000.0,5000.0
mean,1.43825961396722,2.137478031194387,2.913386236008883
std,0.341701059949875,0.17478839367355342,0.37687553328619017
min,0.9484168928183178,1.381943476964585,2.195475295713019
25%,1.1238457897594203,2.0723954457230893,2.584457027702678
50%,1.4222358261845112,2.1307633788065647,2.929800239244411
75%,1.676878047268315,2.283706409830621,3.2561205348331215
max,2.1474043246760584,2.5171277551441094,3.9020856663411547
