,1,2,3,4,5,6,7,8,9,10,11,12,13
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,4.266349350126557,8.910016931554274,13.64381550158748,17.040460385705092,18.907091324760845,20.468572158561496,22.055342208401424,23.7380775766459,25.239150500560918,26.699137597813724,28.169962343454127,30.166677248263046,36.07837204523163
std,0.4257116376389667,1.7320020846511175,2.1516923403760178,1.7283429228658975,1.523605403944175,1.339361669026001,1.1789261401956346,1.174178122585791,1.3302955832003986,1.4635578242686138,1.583789559368647,1.8879954930445748,2.61442151341952
min,3.2843974810782455,5.023467045975512,8.869445185954614,11.363605945666693,13.485887276288844,15.232984454048296,16.98254534519758,19.801943193631395,20.93542017609599,22.326891954641997,23.16923946419469,24.936739725285147,28.314895827978976
25%,4.09102333322012,7.6249385635931315,11.913241547701308,15.880687665908354,17.88734700560809,19.563211446304255,21.399357363213102,22.93432146211393,24.311849625231083,25.646654100819454,27.0572296062642,28.847099548070716,34.163783476408085
50%,4.19678518456985,8.96975832032349,13.683853069809093,17.13416061812222,18.92097607721003,20.588529579343792,22.137345157857496,23.65211759159994,25.161547064433577,26.57580080333601,28.126358291034435,30.093820069231914,35.9224052385862
75%,4.31402979122968,10.212857629309447,15.323013460762427,18.275964578114557,20.039009929070424,21.461192221448584,22.856488131043427,24.454746432638842,26.12801170860729,27.67853347016424,29.284836006187977,31.40766179005892,38.05165257773607
max,6.535410610958681,15.087841714559062,19.450658643411067,21.85972967051808,22.708702637768976,23.922651032705748,27.027186671923314,29.053784440059218,30.169908564613845,31.604044701681783,33.917356623927866,36.224912875187684,43.24626400565074
