,1,2,3,4,5,6,7,8,9,10,11
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,2.006057949827959,2.683689545648459,4.040249498062147,4.773369090091177,5.3015766269796325,5.801238421196118,6.1561947681699,7.767578509370965,13.25415190874515,16.424937495346455,18.672109341692785
std,0.140019239843847,0.29228874859717113,0.41347706841315335,0.3869688810830826,0.338830254874834,0.28430197720297906,0.25680239977257563,1.5837179480186312,1.1633976103631465,1.2488942071299676,0.9763178651076746
min,1.5143138531588007,2.1181331464819406,2.6970355336974796,3.6192727080220686,4.194788253946369,4.662933136416082,5.417564542845072,5.680295089353874,10.308637857597232,12.368750475106726,15.686821509734571
25%,1.9156868837106977,2.501422694079976,3.777204615410221,4.479272802834315,5.081031701247998,5.609166123284027,5.987428821708046,6.609682251508202,12.321811246513787,15.624566034723388,17.992408067699884
50%,2.0199737290837145,2.6030665694437016,4.040037981781233,4.764587549368878,5.333866525433466,5.816250536678299,6.175753658472013,7.168510561938968,13.060005636808992,16.5342478731244,18.728955392469445
75%,2.091325181504028,2.7870086181517104,4.338606736754938,5.060841408339922,5.537627976820393,6.005711574074101,6.312908786250262,8.231434737713624,14.143438753368109,17.4518488067055,19.320594476175838
max,2.861154458840167,4.0637599302801215,5.191661194704075,5.688403643975174,6.18961165624573,6.655550166568333,7.187791905007164,12.735150036335,16.322120389304295,18.992697043170757,22.46502308172899
