,1,2,3,4
count,5000.0,5000.0,5000.0,5000.0
mean,2.0993901619461797,2.5131606607402994,3.3902397009156564,4.295134628035716
std,0.26425962789068336,0.2634206512719684,0.43495932594766346,0.49020394853621735
min,1.3380451000219207,1.997049565262976,2.287952844256476,3.1862471193871444
25%,1.9327920852165874,2.3245487544905323,3.127892368712685,3.961354070516539
50%,2.1520353673504227,2.3927365196944526,3.3797614424725757,4.1833766965818775
75%,2.2889578245660354,2.6971113199736263,3.816517198260836,4.512728338816002
max,2.9025830736604536,3.4109137790279984,4.231933226808807,5.5976582862183735
