,1,2,3,4
count,5000.0,5000.0,5000.0,5000.0
mean,7.14760622348413,10.74169670402718,13.128697939200727,17.147499757482475
std,1.4840073411184596,1.0066690158886318,0.6464113613699973,1.198703678448781
min,3.2724061737791605,7.740110776143973,10.53223673155777,12.952008970311343
25%,6.270793155501582,10.189805769853228,12.845013838933442,16.69017044873973
50%,7.016414523067405,10.576536928313569,13.095255390375463,17.319619916891774
75%,8.090548382692608,11.392769307760801,13.402490185453232,17.923982750523034
max,11.550456105798329,13.096509735193832,16.73522049976239,19.23621086049752
