,1,2,3,4
count,5000.0,5000.0,5000.0,5000.0
mean,1.024519102928739,1.6209375403846216,1.8025579266682998,2.1681652474340494
std,0.22067671210011447,0.1621608061866069,0.07668587520646916,0.16126006014832733
min,0.5311490462486661,1.1110188279038864,1.4490783933630287,1.75335419300197
25%,0.8515740594155434,1.4796452557378441,1.7746298489739822,2.0850706085578254
50%,1.0420887960172873,1.645711310328294,1.8117938730974281,2.181831902467832
75%,1.1909286244724546,1.7723771509790116,1.8463953328616878,2.2551847442869772
max,1.518547331612458,1.881498906101101,1.9986725214977348,2.840782784538656
