,1,2,3,4,5,6,7,8,9,10,11,12,13
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.7055884908887845,0.7936280733723661,0.9186929852202659,1.0965964634369163,1.2535662362275104,1.4198278627038206,1.6180161761111331,1.9627561546973467,2.489164854758483,2.9072078012845726,3.3480868269761,3.9535656469895635,5.692849050065696
std,0.05560899589811303,0.08208995405987526,0.11300587492559416,0.1050693359395546,0.1258897329298768,0.1362873291191111,0.1735876116685874,0.3111555662925891,0.30946781824308417,0.3125703154782867,0.3574353084755898,0.3468342526787437,0.8083816961891258
min,0.5160162769121431,0.629414605886554,0.681885720558038,0.7316440816237884,0.9118402392872248,0.9974847441925598,1.1110396127037763,1.364421893793809,1.6226217035519863,1.8605534324095194,2.2320127727743317,2.989587284166808,3.724286987582554
25%,0.6851509517177033,0.721701213243415,0.838373120418299,1.0121111407449959,1.173753829654799,1.3332994501430295,1.5042354614820883,1.7142266251409928,2.2627627216178445,2.694191270166951,3.1054601943457842,3.683104315272861,5.043487707338932
50%,0.7071160634718874,0.7763429212159221,0.9241137778300984,1.088886734170903,1.250812461644187,1.4098870800436416,1.6018048964463727,1.9133951568488923,2.4783318453222867,2.9103808802201865,3.3517616488367326,3.904648539603692,5.697652873826301
75%,0.7239586001737781,0.8455431527360391,0.9883655804832716,1.172706868418569,1.333665872035302,1.5004523106633103,1.7067200226799404,2.1414726419280257,2.7254648395474947,3.1326564426843118,3.564637021313404,4.191447811915799,6.286421263345196
max,0.9285069050092616,1.0355619166318557,1.3623052740143065,1.5258854108053947,2.047390428991792,2.1858896318826013,2.5825578346328175,3.079284689247367,3.392276456543296,3.8974869330443425,4.769638291584538,5.011769255001426,7.686343036514664
