,TotalPop,WhitePop,AsianPop,AfricanPop,HispPop
1,836319,550161,31011,125931,98158
2,748533,463643,42076,140659,67888
3,761402,305538,22267,334200,56056
4,781353,371134,302787,16453,51798
5,742839,534790,13502,134871,31018
6,763436,597258,14135,77579,47260
7,830040,534525,44122,147783,69829
8,788119,403881,87902,112559,150758
9,693122,609869,8835,38885,21527
10,895085,516589,156312,59175,130492
11,802026,363724,149616,113404,154566
