,1,2,3,4,5,6,7,8,9,10,11
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,5.447210897169578,6.904571912642065,8.458866782822119,11.160677656493467,14.083694443214126,17.03412694438984,20.485050005353497,25.475966476698026,28.756346718122224,32.87372202737289,38.70468559665832
std,1.0860077858706787,0.8218872222714709,1.4351654412295445,1.5250399328760593,1.7412077716076202,1.8130055161363596,2.1762178732406126,2.381093932851268,2.0383050274649905,2.3919417612393223,2.866989554671034
min,3.096329467704028,5.095508322776685,5.778509850256544,6.908586698496413,9.499721892397522,12.414348999800975,13.087779236692821,17.240704797143653,19.640640777095207,26.21464544487846,30.913699615190026
25%,4.695522888303962,6.383745423734076,7.396310764795021,10.071043961269446,12.848867826796969,15.755887591175487,19.029699392639426,24.081709198143976,27.407768181611246,31.318625384225673,36.75296912682623
50%,5.651580915777044,6.719524982231533,8.186239690358875,11.283915053939683,13.867363883104034,17.18634335630756,20.32552785453567,25.59198245882043,28.86225639662714,32.52295933626898,38.68460056954993
75%,6.275620503930007,7.253866878085671,9.48014664576303,12.329065154681446,15.291378794881663,18.359099940499533,21.73414665373207,27.072522942340736,30.202473823029237,34.06839201648634,40.6969670843577
max,9.871694372777931,11.455194766099536,13.065076322318816,15.90863311516296,19.60102953083106,22.931350168257904,27.867556055401376,33.12760695596105,34.58110803680627,43.59292105029858,48.00752148535362
