,1,2,3,4,5,6,7,8,9,10,11
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.9444949088777351,1.3143771443382315,1.6434586590455975,1.9687677344377974,2.3471196664417517,2.923727592836108,4.0223877576999465,4.734796445640717,10.440245502616317,12.878794562658657,16.781176405712824
std,0.19513360500162494,0.16351232972667767,0.21754119738004993,0.23086696860474726,0.3038869820496333,0.5401361760366766,0.430860265128074,0.5151869570548503,1.3514673228795013,1.2156632085837031,1.4996689525796176
min,0.3719907099086196,0.7803911709338979,1.146295992193697,1.3099401587473085,1.717309983145094,1.9136953260365692,2.5950873782200254,3.4117445931575174,5.815639235117103,9.78056993245341,12.148724010049042
25%,0.8705256803235201,1.2121973350683033,1.4661061552614312,1.8184015192845975,2.1221709651701843,2.520226054955137,3.7342924093661263,4.492299896074433,9.646244407414315,12.00993937460428,15.726843218465675
50%,0.9971083296698465,1.2859466082577982,1.6656898343650193,1.9251996800536988,2.3145816571974365,2.7964222578821767,4.083077172571883,4.724036226214583,10.655253711032502,12.948176606986308,16.860213333271503
75%,1.0736351242534339,1.3761925053665616,1.8071043047535476,2.095020407475127,2.5247786498751363,3.1911862868996757,4.328708363949591,4.861634191744564,11.320402633354638,13.790294452440707,17.834041771964994
max,1.359253051267696,1.988664503355876,2.558136608751965,3.1047043599179096,3.563204192598816,4.583162889428805,5.048565375240862,9.203326720468658,13.511342001155057,16.538415211122675,20.928351149268124
