,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.9954800473545734,1.2777671865135298,1.5147452890211126,1.6765921811109845,1.8907809623015572,2.1163163654602513,2.2950046835429894,2.4485076982216962,2.645177007964284,3.0074388288702956,3.4413386762846234,3.957343290813537,4.3945988753438225,4.864171819302162,5.585291358168383,7.073867086660831
std,0.11314820968066618,0.16045881101992268,0.11794679969357659,0.13415355517157032,0.17950755309275432,0.17387780580074763,0.15190532040543006,0.1529860226700059,0.20878917565867164,0.2625191355653791,0.3569294760214677,0.3620900241215685,0.2762454193554116,0.356935665488027,0.5140098095520896,0.8506398811763112
min,0.7947470870761579,0.9600399914226047,1.11369189212678,1.4411266990556253,1.513702240156613,1.6049252566994878,1.727898287318038,1.9573611200775805,2.165545302345382,2.361686676117316,2.5815094803898786,2.603339418471644,3.3359829451137135,3.8706029038038334,4.432731179186824,5.1068388538271074
25%,0.9158375219397675,1.1565802809753976,1.4312876307172282,1.5791661476491656,1.7435498516113215,2.002652886395667,2.1945783586951304,2.367281581263896,2.483161046702357,2.819665967023223,3.192191387558184,3.7108596980377637,4.236822544678926,4.6274967278547265,5.086483802933363,6.5708543765389065
50%,0.968800768287654,1.2901860058144456,1.5123041132483654,1.6365007129472309,1.8845650664340068,2.1242867976058224,2.3266597430281992,2.4233036721067904,2.6300466833569573,2.969485286428377,3.3986955315015264,3.9933801908674167,4.403377157559055,4.808031740969267,5.6703798147899604,7.005799414438968
75%,1.0322347718703717,1.3773742947263083,1.5838285836535442,1.753783715696018,2.0189257537731313,2.2449405440133545,2.3951522085972203,2.515152579274502,2.7499818548580364,3.2208177910016733,3.7009684367446933,4.210802573886566,4.578762755991863,5.047059815132189,5.931417339052471,7.245807988043775
max,1.47294879682075,1.732572332199388,2.05303159739637,2.192888901200881,2.4656205861892078,2.637156428278225,2.824432448298349,3.3371821804286808,3.5549454286519357,3.9570374021915775,4.34977442447908,4.866726253576947,5.280230821321733,5.945317354141362,7.176891169834494,9.72658484872281
