,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,2.3518388879749805,3.1504008628936644,3.856574504631919,4.640216748097884,5.408806588950401,6.435368961512576,7.747070976407779,8.963903409587529,10.31878518838101,11.680169888022379,12.905494431359076,14.574585944997315,17.999444161213745,22.191253021365853,25.505768407598726,34.929925907618006
std,0.44508241812393246,0.6087317895590898,0.6582375960821016,0.649518976383283,0.8051318290407418,1.119943163034045,1.1541959146181728,1.207138365526997,1.3592748596674364,1.111034530224259,1.2430269222736867,1.6109702392946883,2.868206741164076,2.909630839954629,2.469308347598216,6.039852884506443
min,1.5168100078186082,1.858614988058322,2.2074554793897594,2.805568804310094,3.4627737785894808,3.741310055551776,4.524076053089409,5.024890692582311,5.6780427198251715,8.026003511280894,9.644517917796822,11.106589635745877,11.918006838302805,13.722604822728432,17.43465821910362,22.259515092321024
25%,2.0749973150333347,2.6727670131494796,3.353098148640269,4.260129567303015,4.861368861313464,5.558518411804389,6.89884131271441,8.362075362286978,9.141482798285057,11.19668646822808,12.009212806078782,13.226302397517479,15.990682254257486,19.991155718136095,24.14027470419006,29.44122413868166
50%,2.260900596485212,3.0999908658474036,3.866510093199805,4.629500668954194,5.174604396873677,6.319636270519714,7.97717668495855,8.724369455204828,10.509022598877843,11.819399315631184,12.696562078473722,14.626899879884721,17.359864509980046,22.26660783622549,25.94483696560227,34.16891914816616
75%,2.5381669436421785,3.585295551808017,4.321595284096518,4.994317060767155,5.859526794431163,7.174375031657234,8.539999917930649,9.580914070307262,11.458110223247385,12.206770919844137,13.593417573056628,15.759791136939045,19.95063968377843,24.47836969836531,27.27553279085868,40.184460111065775
max,4.312196007159727,5.2166295446364295,6.730559672216894,7.33924580610484,8.934131266445455,10.16064890928875,11.58855900387507,13.226302397517479,14.339818064120474,16.146920938723017,18.0545147347958,21.2181128650611,26.762155683300165,28.38374256425024,31.809727764253825,53.53668688474862
