,1,2,3,4,5,6,7,8,9,10,11,12,13
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,5.00447847318197,5.5591480167003455,5.992728099072303,6.98261660074577,7.554773349979126,8.086849487399107,8.56865257586198,8.981147242756553,9.34661514153652,9.730662852337092,10.255775453441942,10.977390273728641,12.039642494976151
std,0.44145611818519515,0.2204292730431436,0.3775509303100833,0.44922896689949676,0.4102247854040728,0.3983947248698565,0.40558139356132095,0.3666735372624397,0.3443715999287116,0.3627347359074767,0.4025472133979888,0.5197167887713017,0.7103799747420347
min,3.8912092255726596,4.726118634287348,5.3304253058631526,5.492053390770837,6.0742167900937245,6.6074198176977506,7.058314671237195,7.815929769347258,8.192175382089605,8.498117994552196,9.163593656321094,9.647673444561958,10.170859150708376
25%,4.609479273492181,5.4479939096758505,5.7122871172612495,6.653931824730158,7.29440991784866,7.811894107098396,8.299329778517992,8.733860324630268,9.11210554524476,9.496822520038192,9.967033633783446,10.577903260115862,11.515105613515933
50%,5.082050655585425,5.504696627030927,5.922952082264577,6.9733937909195065,7.571718092018151,8.094894030302319,8.57266873078329,8.980288174960432,9.346260273690426,9.74903553189706,10.239770117167783,10.934024804299622,12.00241582693103
75%,5.423136271905955,5.614996126927082,6.214229452928753,7.334902823838744,7.827987052205129,8.349708265846687,8.851775679077733,9.242004228613618,9.581940792492967,9.980883403516394,10.507336517087893,11.333000003188097,12.598909544661216
max,5.6707123145744704,6.754364359556004,7.570114561030749,8.2234796922546,8.781614375035206,9.439392778154904,9.761050251988072,10.0287586487809,10.659906126956031,11.460076861154437,11.69016141991089,13.157119154695893,14.193474487173019
