,1,2,3,4,5
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,0.9163459247161139,1.188700373811675,1.75024391717805,1.9557518126275122,2.4400819719173352
std,0.17774041425663809,0.20684125110209803,0.13471040328625056,0.15540296994779293,0.2779503954498256
min,0.4915175131260878,0.7627413849967946,1.257442565028182,1.4750434218144177,1.7825864446058173
25%,0.8150617131751464,1.0340535504444865,1.664666891189363,1.8286529498032495,2.180784092382352
50%,0.9114226030957905,1.1520131070955806,1.7423770726281045,1.9575054101908322,2.4660433488877405
75%,1.0282087503100021,1.3108343380309941,1.8214838699978955,2.0950444514947235,2.6980552461845377
max,1.4385396202319445,1.7422117787137612,2.200161127837761,2.2651936803047015,3.0909903355774095
