,1,2,3,4,5
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,6.648212358403114,8.867124684461418,11.75709317715605,13.519466144673796,19.67178936481108
std,1.2544761128642374,1.359954848775684,0.8905164852136482,1.1718071103996526,1.6891705779828723
min,2.6517155496923723,5.963968808819575,9.248076590463768,11.537367574288343,13.71715875515289
25%,5.838194506452465,7.728130813762128,11.11410172478971,12.77340438359506,18.896748730327367
50%,6.606038915434415,8.833950839920606,11.80001639610852,13.17565692063381,19.854414206039806
75%,7.3457715112900015,10.074806604986819,12.465365612927409,13.968927203283796,20.956395077107498
max,10.683025336972666,12.72295042231462,14.122386369663097,18.38127700558329,22.61989897909194
