,1,2,3,4,5
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1.969255967787848,2.423793425930169,2.994437984640088,3.650019384986297,4.3575099520875575
std,0.3058821308118278,0.2254461469625989,0.27780295931401244,0.25722142141560994,0.39647114254682536
min,1.1853385040543154,1.789013412140202,2.222567566184291,2.7444587814022667,3.34280405947409
25%,1.7441472636572297,2.259769160764341,2.7444587814022667,3.4526040875795907,4.012349299920084
50%,1.877779304619578,2.414634351426865,3.0673759972730865,3.6840826450482305,4.452545903014472
75%,2.240112299271055,2.569828769890074,3.191745124539988,3.799168884129035,4.6768076100135865
max,2.766756565678234,3.1974849430542283,3.7093324247792117,4.6276879098452905,5.682428339185063
