,1,2,3
count,5000.0,5000.0,5000.0
mean,1.803745420718401,3.0326510608750765,12.79318537869389
std,0.3962806981397071,0.2638809719896334,1.520743252447112
min,1.0727791069943455,2.4071889282253687,6.50781685180275
25%,1.3924759480198123,2.9003929040367225,12.962106218449653
50%,1.9197229928283868,2.973006368625059,13.47680333503411
75%,2.1123507139572784,3.0659417992988383,13.610191176208183
max,3.5200821402239386,6.291709026126041,13.858398249753352
