,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.4638784256787836,0.553660629327917,0.626877489519641,0.7314690170669456,0.8872534411853783,1.0554155383631403,1.2162773884645888,1.3664479092843251,1.5673982815041316,1.7481824825152559,1.913144965638508,2.0716558733831913,2.2564667805719685,2.519180027418475,2.9117308577873415,4.566749732617329
std,0.062144533495194755,0.0563727938319065,0.07539985535593374,0.10714511618638517,0.1513657873808244,0.15564514450001704,0.1370166668589023,0.15011816097676234,0.1608584267317578,0.15775303463307982,0.1463642099709257,0.14360116264410183,0.16606238414267685,0.2635569651303558,0.3425747310286651,0.5925743500780968
min,0.29302193394476406,0.38804310591723623,0.48751428670384095,0.5328289367099475,0.5790082445292286,0.6186308298827204,0.8400621227134414,0.9550577165052794,1.1018960981719683,1.3166347314674316,1.4129248921045425,1.5471634189639762,1.7386706948640485,1.8733455508043169,2.156764340535025,2.782413468494181
25%,0.41395252860998955,0.5206257053502749,0.5780499356256259,0.6451656847052413,0.7861960468369797,0.9296842481653541,1.1084249294025086,1.2647847819248959,1.4419052689644574,1.6398755287784477,1.8187783025925484,1.9678198086409409,2.1514858080776866,2.337915520413635,2.640061754150245,4.088762082348118
50%,0.48184044044540286,0.5414512879977609,0.6084392133484029,0.7256088090201464,0.8508420882852058,1.0686215427635424,1.2315966499896736,1.3419135283394754,1.5584107247369061,1.7567755689185023,1.9107300809689052,2.0829275622012364,2.2516448499254222,2.460627349258896,2.8835967158117772,4.638038565452693
75%,0.5137387407262833,0.5807165200076627,0.6617242275459476,0.7952695416839924,0.9763527098263222,1.1755126131246447,1.2837684021468765,1.4632979232462437,1.679609339333422,1.8596459685196385,2.017251135430146,2.1755603632889287,2.3700431861604776,2.6578388061728986,3.1816579251501125,5.03299384333246
max,0.6433049273627944,0.818560801113144,1.2275682418347988,1.2686814828687376,1.3501788865167335,1.5604443232738432,1.6952956972791196,1.9807919772265516,2.1158454048837414,2.26530750990994,2.3161545304072693,2.5198729991682183,2.8626258066927983,3.5393318478198306,3.769309989701339,5.818441449667378
